date,rub_to_usd
2009-04-13,33.231817
2014-08-17,35.978225
2013-07-08,33.326604
2006-08-29,26.734742
2021-07-31,73.071512
2006-02-02,28.177756
2021-10-17,70.961249
2005-04-11,27.777349
2017-11-09,59.212986
2006-03-06,27.92277
2015-03-07,60.819162
2015-03-06,60.819162
2015-03-08,60.819162
2021-11-09,70.750922
2007-05-09,25.82923
2011-11-10,30.117395
2013-10-11,32.184298
2013-10-13,32.184298
2014-07-22,35.145709
2013-10-12,32.184298
2010-02-23,30.011828
2018-05-30,62.897738
2021-04-07,77.19041
2021-10-12,71.877462
2007-10-15,24.894396
2022-07-24,58.095313
2006-01-21,28.137772
2006-01-22,28.137772
2006-01-20,28.137772
2019-12-04,64.115381
2008-05-20,23.692986
2019-04-20,63.867925
2019-05-13,65.251691
2019-04-21,63.867925
2019-04-19,63.867925
2016-03-22,67.961463
2022-03-22,105.949169
2022-01-10,74.988614
2018-09-26,65.745983
2022-05-27,66.239338
2011-04-06,28.290316
2018-02-01,56.191481
2019-01-12,66.888792
2019-01-11,66.888792
2019-01-13,66.888792
2006-07-08,25.681535
2006-07-09,25.681535
2006-09-05,26.651591
2006-07-07,25.681535
2013-02-27,30.611128
2015-11-29,65.087231
2015-11-28,65.087231
2015-11-27,65.087231
2016-12-20,61.408034
2008-04-16,23.340644
2008-03-03,24.001316
2020-07-27,71.571295
2017-04-24,55.475722
2011-05-07,27.613655
2011-05-08,27.613655
2011-05-06,27.613655
2008-01-30,24.423168
2021-10-26,69.521592
2012-04-15,29.40693
2014-08-26,36.091743
2012-04-13,29.40693
2012-04-14,29.40693
2007-02-20,26.200943
2012-05-03,29.463797
2006-12-28,26.362945
2006-11-29,26.339367
2020-09-06,75.369206
2011-06-16,28.117966
2018-11-08,66.197306
2008-05-13,23.785617
2011-06-22,27.970102
2017-01-25,59.288843
2017-04-19,56.031783
2013-07-09,33.240929
2021-04-12,77.3245
2014-04-21,35.450525
2018-03-08,56.799436
2017-08-20,59.233271
2017-08-18,59.233271
2017-08-19,59.233271
2006-09-06,26.653405
2006-08-07,26.689289
2006-08-23,26.77803
2006-09-21,26.682576
2011-07-03,27.909705
2011-07-02,27.909705
2011-07-01,27.909705
2014-04-14,35.743464
2018-11-10,66.90007
2019-02-26,65.562104
2018-11-11,66.90007
2018-11-09,66.90007
2015-10-18,61.350897
2015-10-16,61.350897
2015-10-17,61.350897
2008-05-06,23.702369
2011-04-16,28.166574
